snapshot,src_student,dst_student,src_class,dst_class,src_gender,dst_gender,same_class,importance
1,676,873,PSI*,PSI*,M,F,True,0.30938965
1,1164,1657,MP*1,MP*1,M,M,True,0.3084957
1,1613,1672,MP*1,MP*1,M,M,True,0.30775434
1,1622,1657,MP*1,MP*1,M,M,True,0.30465475
1,613,616,PC,PC,M,M,True,0.30233118
1,890,893,PC*,PC*,M,M,True,0.29891029
1,626,817,PC,PC*,M,F,False,0.29440767
1,1190,1671,MP*1,MP*1,M,M,True,0.29239771
1,626,847,PC,PC*,M,F,False,0.2914263
1,616,661,PC,PC,M,M,True,0.2857599
1,601,644,PC,PC,M,F,True,0.28443438
1,1170,1613,MP*1,MP*1,M,M,True,0.28437972
1,626,698,PC,PC,M,M,True,0.2812674
1,644,696,PC,PC,F,F,True,0.2758024
1,841,855,PSI*,PSI*,F,F,True,0.27517998
1,810,855,PSI*,PSI*,M,F,True,0.26988506
1,849,868,PC*,PSI*,F,M,False,0.2687892
1,882,886,PC*,PC*,M,M,True,0.26750776
1,841,849,PSI*,PC*,F,F,False,0.26641047
1,849,895,PC*,PC*,F,F,True,0.26357323
1,644,817,PC,PC*,F,F,False,0.26105642
1,686,696,PC,PC,F,F,True,0.25767145
1,1613,1649,MP*1,MP*1,M,F,True,0.25624812
1,1613,1674,MP*1,MP*1,M,M,True,0.25529376
1,601,863,PC,PSI*,M,F,False,0.25472862
1,810,873,PSI*,PSI*,M,F,True,0.25400418
1,880,897,PC*,PC*,M,M,True,0.25078437
1,690,692,PC,PC,M,M,True,0.24990922
1,643,892,PC,PC*,F,M,False,0.24577926
1,810,853,PSI*,PSI*,M,F,True,0.24546607
1,806,819,PC*,PC*,M,F,True,0.24308932
1,681,686,PC,PC,F,F,True,0.24113536
1,643,667,PC,PC,F,F,True,0.24043077
1,1148,1190,MP*1,MP*1,M,M,True,0.23914692
1,823,890,PC*,PC*,M,M,True,0.23797008
1,683,686,PC,PC,F,F,True,0.23422232
1,643,683,PC,PC,F,F,True,0.23305303
1,806,871,PC*,PSI*,M,M,False,0.23301682
